non-inclusive,inclusive,Category,non-inclusive (Tamil),inclusive (Tamil)
The saleswomen achieved their targets this quarter.,The salespersons achieved their targets this quarter.,Gender,இந்த காலாண்டில் விற்பனையாளர்கள் தங்கள் இலக்குகளை அடைந்துள்ளனர்.,இந்த காலாண்டில் விற்பனையாளர்கள் தங்கள் இலக்குகளை அடைந்துள்ளனர்.
Every saleswoman has a responsibility to know her product well.,Every salesperson has a responsibility to know their product well.,Gender,ஒவ்வொரு விற்பனையாளரும் தனது தயாரிப்பை நன்கு அறிந்து கொள்ள வேண்டிய பொறுப்பு உள்ளது.,ஒவ்வொரு விற்பனையாளரும் தங்கள் தயாரிப்புகளை நன்கு அறிந்திருக்க வேண்டிய பொறுப்பு உள்ளது.
Saleswomen have been leading the department in profits.,Salespersons have been leading the department in profits.,Gender,விற்பனைப் பெண்கள் துறையை லாபத்தில் வழிநடத்தி வருகின்றனர்.,விற்பனையாளர்கள் துறையை லாபத்தில் வழிநடத்தி வருகின்றனர்.
The fireman bravely rescued the cat from the tree.,The firefighter bravely rescued the cat from the tree.,Gender,தீயணைப்பு வீரர் தைரியமாக அந்த பூனையை மரத்தில் இருந்து மீட்டார்.,தீயணைப்பு வீரர் துணிச்சலாக அந்த பூனையை மரத்தில் இருந்து மீட்டார்.
The little boy wants to be a fireman when he grows up.,The little boy wants to be a firefighter when he grows up.,Gender,சிறுவன் பெரியவனானதும் தீயணைப்பு வீரனாக விரும்புகிறான்.,சிறுவன் பெரியவனானதும் தீயணைப்பு வீரனாக விரும்புகிறான்.
We need more firemen to handle the emergency.,We need more firefighters to handle the emergency.,Gender,அவசரநிலையை கையாள அதிக தீயணைப்பு வீரர்கள் தேவை.,அவசரநிலையை கையாள அதிக தீயணைப்பு வீரர்கள் தேவை.
The fireman quickly extinguished the flames.,The firefighter quickly extinguished the flames.,Gender,தீயணைப்பு வீரர் வேகமாக தீயை அணைத்தார்.,தீயணைப்பு வீரர்கள் விரைந்து தீயை அணைத்தனர்.
She dreams of becoming a fireman like her father.,She dreams of becoming a firefighter like her father.,Gender,அவள் தன் தந்தையைப் போல ஒரு தீயணைப்பு வீரராக வேண்டும் என்று கனவு காண்கிறாள்.,அவள் தன் தந்தையைப் போல தீயணைப்பு வீரராக வேண்டும் என்று கனவு காண்கிறாள்.
The firemen arrived quickly to put out the blaze.,The firefighters arrived quickly to put out the blaze.,Gender,தீயணைப்பு வீரர்கள் விரைந்து வந்து தீயை அணைத்தனர்.,தீயணைப்பு வீரர்கள் விரைந்து வந்து தீயை அணைத்தனர்.
A fireman's job is to keep the community safe.,A firefighter's job is to keep the community safe.,Gender,ஒரு தீயணைப்பு வீரரின் பணி சமூகத்தை பாதுகாப்பாக வைத்திருப்பதாகும்.,ஒரு தீயணைப்பு வீரரின் பணி சமூகத்தை பாதுகாப்பாக வைத்திருப்பதாகும்.
The brave firemen were awarded for their service.,The brave firefighters were awarded for their service.,Gender,துணிச்சலான தீயணைப்பு வீரர்களுக்கு அவர்களின் சேவைக்காக விருது வழங்கப்பட்டது.,துணிச்சலான தீயணைப்பு வீரர்களுக்கு அவர்களின் சேவைக்காக விருது வழங்கப்பட்டது.
My uncle was a fireman for over 20 years.,My uncle was a firefighter for over 20 years.,Gender,என் மாமா 20 ஆண்டுகளுக்கும் மேலாக தீயணைப்பு வீரராக இருந்தார்.,எனது மாமா 20 ஆண்டுகளுக்கும் மேலாக தீயணைப்பு வீரராக இருந்தார்.
The children enjoyed the visit from the local firemen.,The children enjoyed the visit from the local firefighters.,Gender,உள்ளூர் தீயணைப்பு வீரர்களின் வருகையை குழந்தைகள் மகிழ்ந்தனர்.,உள்ளூர் தீயணைப்பு வீரர்களின் வருகையை குழந்தைகள் மகிழ்ந்தனர்.
The firewoman bravely entered the burning building.,The firefighter bravely entered the burning building.,Gender,நெருப்புப் பெண் தைரியமாக எரியும் கட்டிடத்திற்குள் நுழைந்தார்.,தீயணைப்பு வீரர் தைரியமாக எரியும் கட்டிடத்திற்குள் நுழைந்தார்.
"My neighbor is a firewoman, and she’s great at her job.","My neighbor is a firefighter, and they’re great at their job.",Gender,"என் பக்கத்து வீட்டுக்காரர் ஒரு தீயணைப்புப் பெண், அவள் வேலையில் சிறந்தவள்.","என் பக்கத்து வீட்டுக்காரர் ஒரு தீயணைப்பு வீரர், அவர்கள் தங்கள் வேலையில் சிறந்தவர்கள்."
The children were excited to meet the firewoman during their school visit.,The children were excited to meet the firefighter during their school visit.,Gender,குழந்தைகள் பள்ளிக்கு வருகை தந்தபோது தீயணைப்புப் பெண்ணை சந்திக்க உற்சாகமாக இருந்தனர்.,குழந்தைகள் தங்கள் பள்ளி வருகையின் போது தீயணைப்பு வீரரை சந்திக்க உற்சாகமாக இருந்தனர்.
"When the alarm rang, every firewoman in the station was ready to act.","When the alarm rang, every firefighter in the station was ready to act.",Gender,"அலாரம் அடித்ததும், ஸ்டேஷனில் இருந்த ஒவ்வொரு தீயணைப்புப் பெண்ணும் செயல்படத் தயாராக இருந்தனர்.","அலாரம் அடித்ததும், ஸ்டேஷனில் இருந்த ஒவ்வொரு தீயணைப்பு வீரர்களும் செயல்படத் தயாராக இருந்தனர்."
The firewoman received a medal for her bravery.,The firefighter received a medal for their bravery.,Gender,தீயணைப்புப் பெண்மணி தனது துணிச்சலுக்காக ஒரு பதக்கம் பெற்றார்.,தீயணைப்பு வீரர் அவர்களின் துணிச்சலுக்காக பதக்கம் பெற்றார்.
The firewomen quickly put out the blaze downtown.,The firefighters quickly put out the blaze downtown.,Gender,தீயணைப்பு வீரர்கள் விரைந்து வந்து தீயை அணைத்தனர்.,டவுன்டவுனில் ஏற்பட்ட தீயை தீயணைப்பு வீரர்கள் விரைவாக அணைத்தனர்.
We need more firewomen on the team for diversity.,We need more firefighters on the team for diversity.,Gender,பன்முகத்தன்மைக்காக அணியில் அதிகமான தீயணைப்புப் பெண்கள் தேவை.,பன்முகத்தன்மைக்கான குழுவில் அதிகமான தீயணைப்பு வீரர்கள் தேவை.
The firewomen demonstrated incredible bravery during the rescue.,The firefighters demonstrated incredible bravery during the rescue.,Gender,மீட்புப் பணியின் போது தீயணைப்புப் பெண்கள் அபாரமான துணிச்சலை வெளிப்படுத்தினர்.,மீட்புப் பணியில் தீயணைப்பு வீரர்கள் அபாரமான துணிச்சலை வெளிப்படுத்தினர்.
The firewomen's association organized a training session.,The firefighters' association organized a training session.,Gender,தீயணைப்புப் பெண்கள் சங்கம் சார்பில் பயிற்சி வகுப்பு நடைபெற்றது.,தீயணைப்பு வீரர்கள் சங்கம் சார்பில் பயிற்சி வகுப்பு நடந்தது.
Only firewomen were present at the community event.,Only firefighters were present at the community event.,Gender,சமூக நிகழ்வில் தீயணைப்புப் பெண்கள் மட்டுமே கலந்து கொண்டனர்.,சமூக நிகழ்வில் தீயணைப்பு வீரர்கள் மட்டுமே கலந்து கொண்டனர்.
The barman served drinks to all the guests.,The bartender served drinks to all the guests.,Gender,பார்மேன் விருந்தினர்கள் அனைவருக்கும் பானங்கள் வழங்கினார்.,பார்டெண்டர் அனைத்து விருந்தினர்களுக்கும் பானங்களை வழங்கினார்.
Ask the barman if he can recommend a good cocktail.,Ask the bartender if they can recommend a good cocktail.,Gender,ஒரு நல்ல காக்டெய்லை பரிந்துரைக்க முடியுமா என்று பார்மேனிடம் கேளுங்கள்.,ஒரு நல்ல காக்டெய்லை பரிந்துரைக்க முடியுமா என்று பார்டெண்டரிடம் கேளுங்கள்.
The barman was friendly and quick with his service.,The bartender was friendly and quick with their service.,Gender,பார்மேன் தனது சேவையில் நட்பாகவும் விரைவாகவும் இருந்தார்.,மதுக்கடைக்காரர் அவர்களின் சேவையில் நட்பாகவும் விரைவாகவும் இருந்தார்.
I need to hire a barman for my party.,I need to hire a bartender for my party.,Gender,எனது கட்சிக்கு ஒரு பார்மேனை நியமிக்க வேண்டும்.,எனது கட்சிக்கு ஒரு மதுக்கடையை நான் நியமிக்க வேண்டும்.
The barman gave me a great suggestion for a drink.,The bartender gave me a great suggestion for a drink.,Gender,மதுக்கடைக்காரர் எனக்கு ஒரு பானத்திற்கான சிறந்த ஆலோசனையை வழங்கினார்.,மதுக்கடைக்காரர் எனக்கு ஒரு பானத்திற்கான சிறந்த ஆலோசனையை வழங்கினார்.
The barman prepared drinks for everyone at the party.,The bartender prepared drinks for everyone at the party.,Gender,பார்மேன் பார்ட்டியில் அனைவருக்கும் பானங்கள் தயாரித்தார்.,பார்ட்டியில் இருந்த அனைவருக்கும் மதுபானங்களை தயார் செய்தார்.
She asked the barman for a cocktail recommendation.,She asked the bartender for a cocktail recommendation.,Gender,பார்மேனிடம் காக்டெய்ல் பரிந்துரையைக் கேட்டாள்.,அவள் பார்டெண்டரிடம் காக்டெய்ல் பரிந்துரையைக் கேட்டாள்.
The barmen at this place are known for their friendly service.,The bartenders at this place are known for their friendly service.,Gender,இந்த இடத்திலுள்ள மதுக்கடைக்காரர்கள் தங்கள் நட்புறவான சேவைக்கு பெயர் பெற்றவர்கள்.,இந்த இடத்திலுள்ள மதுக்கடைக்காரர்கள் தங்கள் நட்புறவு சேவைக்கு பெயர் பெற்றவர்கள்.
He decided to work as a barman during his summer break.,He decided to work as a bartender during his summer break.,Gender,கோடை விடுமுறையில் பார்மேனாக வேலை செய்ய முடிவு செய்தார்.,கோடை விடுமுறையில் மதுக்கடை வேலை செய்ய முடிவு செய்தார்.
All the barmen in the city were invited to the event.,All the bartenders in the city were invited to the event.,Gender,இந்நிகழ்ச்சிக்கு நகரத்திலுள்ள அனைத்து மதுக்கடைக்காரர்களும் அழைக்கப்பட்டிருந்தனர்.,இந்நிகழ்ச்சிக்கு நகரத்திலுள்ள அனைத்து மதுக்கடைக்காரர்களும் அழைக்கப்பட்டிருந்தனர்.
The barwoman served us drinks with a smile.,The bartender served us drinks with a smile.,Gender,பார்ப்பெண் புன்னகையுடன் எங்களுக்கு பானங்களை வழங்கினார்.,மதுக்கடைக்காரர் புன்னகையுடன் எங்களுக்கு பானங்களை வழங்கினார்.
My friend wants to become a barwoman after college.,My friend wants to become a bartender after college.,Gender,என் தோழி கல்லூரிக்குப் பிறகு பார் வுமன் ஆக விரும்புகிறாள்.,என் நண்பன் கல்லூரிக்குப் பிறகு பார்டெண்டர் ஆக விரும்புகிறான்.
The barwoman was incredibly knowledgeable about cocktails.,The bartender was incredibly knowledgeable about cocktails.,Gender,பார் வுமன் காக்டெய்ல் பற்றி நம்பமுடியாத அளவிற்கு அறிந்தவர்.,பார்டெண்டர் காக்டெய்ல் பற்றி நம்பமுடியாத அளவிற்கு அறிந்திருந்தார்.
I always tip my favorite barwoman generously.,I always tip my favorite bartender generously.,Gender,எனக்குப் பிடித்த பார்ப்பெண்ணுக்கு நான் எப்போதும் தாராளமாக டிப்ஸ் கொடுப்பேன்.,எனக்குப் பிடித்த மதுக்கடைக்கு நான் எப்போதும் தாராளமாக டிப்ஸ் கொடுப்பேன்.
The pub hired a new barwoman last week.,The pub hired a new bartender last week.,Gender,பப் கடந்த வாரம் புதிய பார் வுமன் ஒருவரை நியமித்தது.,பப் கடந்த வாரம் ஒரு புதிய மதுக்கடையை நியமித்தது.
The barwomen at that pub are really friendly.,The bartenders at that pub are really friendly.,Gender,அந்த மதுபான விடுதியில் இருக்கும் பார் வுமன்கள் மிகவும் நட்பானவர்கள்.,அந்த பப்பில் உள்ள மதுக்கடைக்காரர்கள் மிகவும் நட்பானவர்கள்.
"During the festival, the barwomen worked extra shifts.","During the festival, the bartenders worked extra shifts.",Gender,"திருவிழாவின் போது, ​​மதுக்கடை பெண்கள் கூடுதல் ஷிப்டுகளில் வேலை செய்தனர்.","திருவிழாவின் போது, ​​மதுக்கடைக்காரர்கள் கூடுதல் ஷிப்ட் வேலை செய்தனர்."
They hired two new barwomen for the summer.,They hired two new bartenders for the summer.,Gender,அவர்கள் கோடையில் இரண்டு புதிய பார் வுமன்களை வேலைக்கு அமர்த்தினார்கள்.,அவர்கள் கோடையில் இரண்டு புதிய மதுக்கடைகளை வேலைக்கு அமர்த்தினார்கள்.
The barwoman made a fantastic cocktail for us.,The bartender made a fantastic cocktail for us.,Gender,பார் வுமன் எங்களுக்காக ஒரு அருமையான காக்டெய்ல் செய்தார்.,பார்டெண்டர் எங்களுக்கு ஒரு அருமையான காக்டெய்ல் செய்தார்.
We need more barwomen for the event this weekend.,We need more bartenders for the event this weekend.,Gender,இந்த வார இறுதியில் நிகழ்ச்சிக்கு அதிகமான பார் வுமன்கள் தேவை.,இந்த வார இறுதியில் நிகழ்ச்சிக்கு அதிகமான மதுக்கடைகள் தேவை.
The cleaning man arrived to tidy up the office.,The cleaner arrived to tidy up the office.,Gender,துப்புரவு பணியாளர் அலுவலகத்தை சுத்தம் செய்ய வந்தார்.,துப்புரவு பணியாளர் அலுவலகத்தை சுத்தம் செய்ய வந்தார்.
We hired a new cleaning man for our building.,We hired a new cleaner for our building.,Gender,எங்கள் கட்டிடத்திற்கு ஒரு புதிய துப்புரவு ஆளை நியமித்தோம்.,எங்கள் கட்டிடத்திற்கு புதிய துப்புரவு பணியாளரை நியமித்தோம்.
The cleaning man works tirelessly to keep the area spotless.,The cleaner works tirelessly to keep the area spotless.,Gender,துப்புரவு பணியாளர் அயராது உழைத்து அப்பகுதியை களங்கமற்றதாக வைக்கிறார்.,துப்புரவு பணியாளர் அயராது உழைத்து அப்பகுதியை களங்கமற்றதாக வைக்கிறார்.
A cleaning man came by to handle the spill.,A cleaner came by to handle the spill.,Gender,துப்புரவு பணியாளர் ஒருவர் கசிவைக் கையாள வந்தார்.,கசிவைக் கையாள ஒரு துப்புரவு பணியாளர் வந்தார்.
The office relies on the cleaning man to maintain hygiene.,The office relies on the cleaner to maintain hygiene.,Gender,அலுவலகம் சுகாதாரத்தை பராமரிக்க துப்புரவு மனிதனை நம்பியுள்ளது.,அலுவலகம் சுகாதாரத்தை பராமரிக்க துப்புரவு பணியாளரை நம்பியுள்ளது.
I hired a cleaning lady to tidy up the house.,I hired cleaners to tidy up the house.,Gender,வீட்டைச் சுத்தம் செய்ய ஒரு துப்புரவுப் பெண்ணை நியமித்தேன்.,வீட்டை சுத்தம் செய்ய துப்புரவு பணியாளர்களை நியமித்தேன்.
The cleaning lady comes every Monday to clean our office.,The cleaners come every Monday to clean our office.,Gender,ஒவ்வொரு திங்கட்கிழமையும் எங்கள் அலுவலகத்தை சுத்தம் செய்ய துப்புரவுப் பெண் வருவார்.,ஒவ்வொரு திங்கட்கிழமையும் எங்கள் அலுவலகத்தை சுத்தம் செய்ய துப்புரவு பணியாளர்கள் வருகிறார்கள்.
My neighbor recommended a good cleaning lady for spring cleaning.,My neighbor recommended good cleaners for spring cleaning.,Gender,எனது பக்கத்து வீட்டுக்காரர் ஸ்பிரிங் க்ளீனிங்கிற்கு ஒரு நல்ல துப்புரவுப் பெண்ணைப் பரிந்துரைத்தார்.,எனது பக்கத்து வீட்டுக்காரர் ஸ்பிரிங் க்ளீனிங்கிற்கு நல்ல கிளீனர்களை பரிந்துரைத்தார்.
The cleaning lady did an excellent job with the windows.,The cleaners did an excellent job with the windows.,Gender,துப்புரவுப் பெண் ஜன்னல்களை சிறப்பாகச் செய்தார்.,துப்புரவு பணியாளர்கள் ஜன்னல்களுடன் சிறப்பாக வேலை செய்தனர்.
"When the cleaning lady finishes, the house looks spotless.","When the cleaners finish, the house looks spotless.",Gender,"துப்புரவுப் பெண்மணி முடித்ததும், வீடு களங்கமற்றதாகத் தெரிகிறது.","துப்புரவுப் பணியாளர்களை முடித்ததும், வீடு களங்கமற்றதாகத் தெரிகிறது."
The cleaning men will arrive at 9 AM.,The cleaners will arrive at 9 AM.,Gender,துப்புரவு பணியாளர்கள் காலை 9 மணிக்கு வருவார்கள்.,துப்புரவு பணியாளர்கள் காலை 9 மணிக்கு வருவார்கள்.
We need to hire more cleaning men for the new office.,We need to hire more cleaners for the new office.,Gender,புதிய அலுவலகத்திற்கு அதிகளவில் துப்புரவு பணியாளர்களை நியமிக்க வேண்டும்.,புதிய அலுவலகத்திற்கு அதிகளவில் துப்புரவு பணியாளர்களை நியமிக்க வேண்டும்.
The cleaning men were thorough and efficient in their work.,The cleaners were thorough and efficient in their work.,Gender,துப்புரவு பணியாளர்கள் தங்கள் வேலையில் முழுமையாகவும் திறமையாகவும் இருந்தனர்.,துப்புரவுப் பணியாளர்கள் தங்கள் வேலையில் முழுமையாகவும் திறமையாகவும் இருந்தனர்.
Trevor works as one of the top cleaning men in the company.,Trevor works as one of the top cleaners in the company.,Gender,ட்ரெவர் நிறுவனத்தில் சிறந்த துப்புரவு பணியாளர்களில் ஒருவராக பணியாற்றுகிறார்.,ட்ரெவர் நிறுவனத்தின் சிறந்த கிளீனர்களில் ஒருவராக பணிபுரிகிறார்.
The supervisor assigned the cleaning men to different floors.,The supervisor assigned the cleaners to different floors.,Gender,மேற்பார்வையாளர் துப்புரவு பணியாளர்களை வெவ்வேறு தளங்களுக்கு நியமித்தார்.,மேற்பார்வையாளர் பல்வேறு தளங்களுக்கு துப்புரவு பணியாளர்களை நியமித்தார்.
The cleaning ladies will tidy up the office after hours.,The cleaners will tidy up the office after hours.,Gender,துப்புரவுப் பெண்கள் மணிக்கணக்கில் அலுவலகத்தை ஒழுங்குபடுத்துவார்கள்.,துப்புரவு பணியாளர்கள் மணிக்கணக்கில் அலுவலகத்தை சுத்தம் செய்வார்கள்.
We regularly hire new cleaning ladies for the hotel.,We regularly hire new cleaners for the hotel.,Gender,ஹோட்டலுக்கு புதிய துப்புரவுப் பெண்களை நாங்கள் வழக்கமாக வேலைக்கு அமர்த்துகிறோம்.,ஹோட்டலுக்கு புதிய துப்புரவு பணியாளர்களை நாங்கள் வழக்கமாக நியமித்து வருகிறோம்.
The cleaning ladies ensure the school is spotless every day.,The cleaners ensure the school is spotless every day.,Gender,துப்புரவுப் பெண்கள் பள்ளியை ஒவ்வொரு நாளும் களங்கமற்றதாக உறுதிசெய்கிறார்கள்.,"துப்புரவுப் பணியாளர்கள், பள்ளியை ஒவ்வொரு நாளும் களங்கப்படுத்தாமல் பார்த்துக்கொள்கிறார்கள்."
I need to call the cleaning lady to arrange a time for her to clean the apartment.,I need to call the cleaner to arrange a time for them to clean the apartment.,Gender,"நான் துப்புரவுப் பெண்ணை அழைக்க வேண்டும், அவள் குடியிருப்பை சுத்தம் செய்ய ஒரு நேரத்தை ஏற்பாடு செய்ய வேண்டும்.",அபார்ட்மெண்ட்டை சுத்தம் செய்ய ஒரு நேரத்தை ஏற்பாடு செய்ய நான் கிளீனரை அழைக்க வேண்டும்.
The company relies on cleaning ladies to maintain a clean environment.,The company relies on cleaners to maintain a clean environment.,Gender,நிறுவனம் தூய்மையான சூழலை பராமரிக்க பெண்களை சுத்தம் செய்வதை நம்பியுள்ளது.,நிறுவனம் தூய்மையான சூழலை பராமரிக்க துப்புரவு பணியாளர்களை நம்பியுள்ளது.
The foreman decided the schedule for the construction workers.,The supervisor decided the schedule for the construction workers.,Gender,கட்டுமானத் தொழிலாளர்களுக்கான அட்டவணையை ஃபோர்மேன் முடிவு செய்தார்.,கட்டுமானத் தொழிலாளர்களுக்கான அட்டவணையை மேற்பார்வையாளர் முடிவு செய்தார்.
The foreman was responsible for the safety briefing on the site.,The supervisor was responsible for the safety briefing on the site.,Gender,தளத்தில் பாதுகாப்பு விளக்கத்திற்கு ஃபோர்மேன் பொறுப்பு.,தளத்தில் பாதுகாப்பு விளக்கத்திற்கு மேற்பார்வையாளர் பொறுப்பு.
"If you have any questions, please ask the foreman for assistance.","If you have any questions, please ask the supervisor for assistance.",Gender,"உங்களுக்கு ஏதேனும் கேள்விகள் இருந்தால், உதவிக்கு ஃபோர்மேனிடம் கேளுங்கள்.","உங்களிடம் ஏதேனும் கேள்விகள் இருந்தால், மேற்பார்வையாளரிடம் உதவி கேட்கவும்."
The foreman inspected the equipment before the work began.,The supervisor inspected the equipment before the work began.,Gender,பணி தொடங்கும் முன் உபகரணங்களை மேற்பார்வையாளர் ஆய்வு செய்தார்.,பணி தொடங்கும் முன் கண்காணிப்பாளர் உபகரணங்களை ஆய்வு செய்தார்.
The foreman and his team completed the project on time.,The supervisor and their team completed the project on time.,Gender,போர்மேன் மற்றும் அவரது குழுவினர் திட்டத்தை குறித்த நேரத்தில் முடித்தனர்.,மேற்பார்வையாளரும் அவர்களது குழுவினரும் திட்டத்தை குறித்த நேரத்தில் முடித்தனர்.
The foremen are responsible for organizing the teams on site.,The supervisors are responsible for organizing the teams on site.,Gender,தளத்தில் அணிகளை ஒழுங்கமைக்க ஃபோர்மேன்கள் பொறுப்பு.,தளத்தில் குழுக்களை ஒழுங்கமைக்க மேற்பார்வையாளர்கள் பொறுப்பு.
All foremen are required to attend the safety briefing.,All supervisors are required to attend the safety briefing.,Gender,பாதுகாப்பு ஆலோசனையில் அனைத்து முன்னனி பணியாளர்களும் கலந்து கொள்ள வேண்டும்.,அனைத்து மேற்பார்வையாளர்களும் பாதுகாப்பு விளக்கக் கூட்டத்தில் கலந்து கொள்ள வேண்டும்.
The foremen will distribute tasks to the workers.,The supervisors will distribute tasks to the workers.,Gender,முன்னோர்கள் தொழிலாளர்களுக்கு பணிகளை விநியோகிப்பார்கள்.,மேற்பார்வையாளர்கள் தொழிலாளர்களுக்கு பணிகளை விநியோகிப்பார்கள்.
Make sure the foremen have signed off on the project plans.,Make sure the supervisors have signed off on the project plans.,Gender,திட்டத் திட்டங்களில் ஃபோர்மேன் கையொப்பமிட்டிருப்பதை உறுதிப்படுத்திக் கொள்ளுங்கள்.,திட்டத் திட்டங்களில் மேற்பார்வையாளர்கள் கையொப்பமிட்டுள்ளனர் என்பதை உறுதிப்படுத்தவும்.
The foremen need to ensure all equipment is in working order.,The supervisors need to ensure all equipment is in working order.,Gender,அனைத்து உபகரணங்களும் வேலை செய்யும் நிலையில் இருப்பதை முன்னோர்கள் உறுதி செய்ய வேண்டும்.,அனைத்து உபகரணங்களும் வேலை செய்யும் நிலையில் இருப்பதை மேற்பார்வையாளர்கள் உறுதி செய்ய வேண்டும்.
The forewoman was the only one to receive a bonus this year.,The supervisor was the only one to receive a bonus this year.,Gender,முன்னோடி மட்டுமே இந்த ஆண்டு போனஸ் பெற்றார்.,மேற்பார்வையாளர் மட்டுமே இந்த ஆண்டு போனஸ் பெற்றார்.
The forewoman led the team to success despite the challenges.,The supervisor led the team to success despite the challenges.,Gender,சவால்களை பொருட்படுத்தாமல் அணியை வெற்றிப்பாதைக்கு அழைத்துச் சென்றார் முன்னனி.,கண்காணிப்பாளர் சவால்களை மீறி அணியை வெற்றிப் பாதைக்கு அழைத்துச் சென்றார்.
Everyone praised the forewoman for her excellent manAgement skills.,Everyone praised the supervisor for their excellent manAgement skills.,Gender,முன்னனி பெண்ணின் சிறந்த நிர்வாகத் திறமைக்காக அனைவரும் பாராட்டினர்.,மேற்பார்வையாளரின் சிறந்த நிர்வாகத் திறமைக்காக அனைவரும் பாராட்டினர்.
The forewoman ensured that all safety protocols were followed on site.,The supervisor ensured that all safety protocols were followed on site.,Gender,தளத்தில் அனைத்து பாதுகாப்பு நெறிமுறைகளும் பின்பற்றப்படுவதை முன்னோடி உறுதி செய்தார்.,அனைத்து பாதுகாப்பு நெறிமுறைகளும் தளத்தில் பின்பற்றப்படுவதை மேற்பார்வையாளர் உறுதி செய்தார்.
The forewoman addressed the crew before the project started.,The supervisor addressed the crew before the project started.,Gender,திட்டம் தொடங்கும் முன் முன்பெண் குழுவினரிடம் பேசினார்.,திட்டம் தொடங்குவதற்கு முன் மேற்பார்வையாளர் குழுவினரிடம் உரையாற்றினார்.
The forewomen of the department handed out the assignments.,The supervisors of the department handed out the assignments.,Gender,துறையின் முன்னோடிகள் பணிகளை வழங்கினர்.,துறையின் மேற்பார்வையாளர்கள் பணிகளை வழங்கினர்.
The forewoman was responsible for training the new employees.,The supervisor was responsible for training the new employees.,Gender,புதிய ஊழியர்களுக்குப் பயிற்சி அளிக்கும் பொறுப்பு முன்னோடியாக இருந்தது.,புதிய ஊழியர்களுக்கு பயிற்சி அளிக்க மேற்பார்வையாளர் பொறுப்பு.
Only the forewomen attended the manAgement meeting.,Only the supervisors attended the manAgement meeting.,Gender,மேனேஜ்மென்ட் கூட்டத்தில் முன்பெண்கள் மட்டுமே கலந்து கொண்டனர்.,நிர்வாகக் கூட்டத்தில் மேற்பார்வையாளர்கள் மட்டுமே கலந்து கொண்டனர்.
The forewoman manAged the entire team with efficiency.,The supervisor manAged the entire team with efficiency.,Gender,முன்னோடி முழு அணியையும் திறமையுடன் நிர்வகித்தார்.,மேற்பார்வையாளர் முழு குழுவையும் திறமையுடன் நிர்வகித்தார்.
The forewomen in our factory are known for their leadership.,The supervisors in our factory are known for their leadership.,Gender,எங்கள் தொழிற்சாலையில் உள்ள முன்னோடிகள் அவர்களின் தலைமைக்கு பெயர் பெற்றவர்கள்.,எங்கள் தொழிற்சாலையில் உள்ள மேற்பார்வையாளர்கள் அவர்களின் தலைமைக்கு பெயர் பெற்றவர்கள்.
She won the award for Best Actress this year.,She won the award for Best Actor this year.,Gender,இந்த ஆண்டு சிறந்த நடிகைக்கான விருதை வென்றார்.,இந்த ஆண்டு சிறந்த நடிகருக்கான விருதை வென்றார்.
The actress gave an outstanding performance in the film.,The actor gave an outstanding performance in the film.,Gender,நடிகை படத்தில் சிறப்பான நடிப்பை வெளிப்படுத்தினார்.,நடிகர் படத்தில் சிறப்பான நடிப்பை வெளிப்படுத்தினார்.
He always admired her work as an actress.,He always admired her work as an actor.,Gender,அவர் ஒரு நடிகையாக அவரது வேலையை எப்போதும் பாராட்டினார்.,அவர் ஒரு நடிகராக அவரது வேலையை எப்போதும் பாராட்டினார்.
The actresses were all nominated for their leading roles.,The actors were all nominated for their leading roles.,Gender,நடிகைகள் அனைவரும் தங்கள் முன்னணி பாத்திரங்களுக்கு பரிந்துரைக்கப்பட்டனர்.,நடிகர்கள் அனைவரும் தங்கள் முன்னணி பாத்திரங்களுக்கு பரிந்துரைக்கப்பட்டனர்.
She was typecast as an actress in romantic comedies.,She was typecast as an actor in romantic comedies.,Gender,அவர் காதல் நகைச்சுவைகளில் ஒரு நடிகையாக தட்டச்சு செய்யப்பட்டார்.,அவர் காதல் நகைச்சுவைகளில் ஒரு நடிகராக தட்டச்சு செய்யப்பட்டார்.
The actresses arrived at the red carpet ceremony.,The actors arrived at the red carpet ceremony.,Gender,சிவப்பு கம்பள விழாவிற்கு நடிகைகள் வந்தனர்.,நடிகர்கள் சிவப்பு கம்பள விழாவிற்கு வந்தனர்.
Only actresses were invited to the audition for the new film.,Only actors were invited to the audition for the new film.,Gender,புதிய படத்திற்கான தணிக்கைக்கு நடிகைகள் மட்டுமே அழைக்கப்பட்டனர்.,புதிய படத்திற்கான தணிக்கைக்கு நடிகர்கள் மட்டுமே அழைக்கப்பட்டனர்.
The awards ceremony celebrated the achievements of actresses in the industry.,The awards ceremony celebrated the achievements of actors in the industry.,Gender,இந்த விருது வழங்கும் விழா திரையுலகில் நடிகைகளின் சாதனைகளை கொண்டாடியது.,இந்த விருது வழங்கும் விழா நடிகர்களின் சாதனைகளை கொண்டாடியது.
The actresses rehearsed their lines for the play.,The actors rehearsed their lines for the play.,Gender,நடிகைகள் நாடகத்திற்கான தங்கள் வரிகளை ஒத்திகை பார்த்தனர்.,நடிகர்கள் நாடகத்திற்கான தங்கள் வரிகளை ஒத்திகை பார்த்தனர்.
The director praised the actresses for their incredible performances.,The director praised the actors for their incredible performances.,Gender,நடிகைகளின் அபாரமான நடிப்பிற்காக இயக்குனர் பாராட்டினார்.,நடிகர்களின் அபாரமான நடிப்பிற்காக இயக்குனர் பாராட்டினார்.
