non-inclusive,inclusive,Category,non-inclusive (Kannada),inclusive (Kannada)
AverAge men aren't interested in fashion trends.,AverAge people have diverse interests in fashion trends.,Gender,ಸರಾಸರಿ ಪುರುಷರು ಫ್ಯಾಷನ್ ಪ್ರವೃತ್ತಿಗಳಲ್ಲಿ ಆಸಕ್ತಿ ಹೊಂದಿಲ್ಲ.,ಸರಾಸರಿ ಜನರು ಫ್ಯಾಷನ್ ಪ್ರವೃತ್ತಿಗಳಲ್ಲಿ ವೈವಿಧ್ಯಮಯ ಆಸಕ್ತಿಗಳನ್ನು ಹೊಂದಿದ್ದಾರೆ.
The book club is not something averAge men would join.,The book club is open to averAge people who enjoy reading.,Gender,ಪುಸ್ತಕ ಕ್ಲಬ್ ಸರಾಸರಿ ಪುರುಷರು ಸೇರುವ ವಿಷಯವಲ್ಲ.,ಪುಸ್ತಕ ಕ್ಲಬ್ ಓದುವುದನ್ನು ಆನಂದಿಸುವ ಸರಾಸರಿ ಜನರಿಗೆ ತೆರೆದಿರುತ್ತದೆ.
We need the best man for the job to lead this project.,We need the best person for the job to lead this project.,Gender,ಈ ಯೋಜನೆಯನ್ನು ಮುನ್ನಡೆಸಲು ನಮಗೆ ಕೆಲಸಕ್ಕೆ ಉತ್ತಮ ಪುರುಷ ಬೇಕು.,ಈ ಯೋಜನೆಯನ್ನು ಮುನ್ನಡೆಸಲು ನಮಗೆ ಉತ್ತಮ ವ್ಯಕ್ತಿ ಬೇಕು.
Finding the best man for the job is our top priority.,Finding the best person for the job is our top priority.,Gender,ಕೆಲಸಕ್ಕೆ ಉತ್ತಮ ಪುರುಷನನ್ನು ಹುಡುಕುವುದು ನಮ್ಮ ಪ್ರಮುಖ ಆದ್ಯತೆಯಾಗಿದೆ.,ಕೆಲಸಕ್ಕೆ ಉತ್ತಮ ವ್ಯಕ್ತಿಯನ್ನು ಹುಡುಕುವುದು ನಮ್ಮ ಪ್ರಮುಖ ಆದ್ಯತೆಯಾಗಿದೆ.
The best man for the job should be appointed as the team leader.,The best person for the job should be appointed as the team leader.,Gender,ತಂಡದ ನಾಯಕರಾಗಿ ಉತ್ತಮ ಪುರುಷನನ್ನು ನೇಮಿಸಬೇಕು.,ಕೆಲಸಕ್ಕೆ ಉತ್ತಮ ವ್ಯಕ್ತಿಯನ್ನು ತಂಡದ ನಾಯಕರನ್ನಾಗಿ ನೇಮಿಸಬೇಕು.
We should hire the best man for the job to handle our operations.,We should hire the best person for the job to handle our operations.,Gender,ನಮ್ಮ ಕಾರ್ಯಾಚರಣೆಗಳನ್ನು ನಿರ್ವಹಿಸಲು ನಾವು ಕೆಲಸಕ್ಕೆ ಉತ್ತಮ ಪುರುಷನನ್ನು ನೇಮಿಸಬೇಕು.,ನಮ್ಮ ಕಾರ್ಯಾಚರಣೆಗಳನ್ನು ನಿರ್ವಹಿಸಲು ನಾವು ಉತ್ತಮ ವ್ಯಕ್ತಿಯನ್ನು ಕೆಲಸಕ್ಕೆ ನೇಮಿಸಿಕೊಳ್ಳಬೇಕು.
Let's ensure the best man for the job gets the promotion.,Let's ensure the best person for the job gets the promotion.,Gender,ಕೆಲಸಕ್ಕಾಗಿ ಉತ್ತಮ ಪುರುಷನಿಗೆ ಬಡ್ತಿ ಸಿಗುತ್ತದೆ ಎಂದು ಖಚಿತಪಡಿಸಿಕೊಳ್ಳೋಣ.,ಕೆಲಸಕ್ಕಾಗಿ ಉತ್ತಮ ವ್ಯಕ್ತಿಗೆ ಬಡ್ತಿ ಸಿಗುತ್ತದೆ ಎಂದು ಖಚಿತಪಡಿಸಿಕೊಳ್ಳೋಣ.
We need to find the best men for the job to lead this project.,We need to find the best people for the job to lead this project.,Gender,ಈ ಯೋಜನೆಯನ್ನು ಮುನ್ನಡೆಸಲು ನಾವು ಕೆಲಸಕ್ಕೆ ಉತ್ತಮ ಪುರುಷರನ್ನು ಹುಡುಕಬೇಕಾಗಿದೆ.,ಈ ಯೋಜನೆಯನ್ನು ಮುನ್ನಡೆಸಲು ನಾವು ಕೆಲಸಕ್ಕೆ ಉತ್ತಮ ಜನರನ್ನು ಹುಡುಕಬೇಕಾಗಿದೆ.
The best men for the job will be interviewed next week.,The best people for the job will be interviewed next week.,Gender,ಉದ್ಯೋಗಕ್ಕಾಗಿ ಉತ್ತಮ ಪುರುಷರನ್ನು ಮುಂದಿನ ವಾರ ಸಂದರ್ಶನ ಮಾಡಲಾಗುತ್ತದೆ.,ಉದ್ಯೋಗಕ್ಕಾಗಿ ಉತ್ತಮ ಜನರನ್ನು ಮುಂದಿನ ವಾರ ಸಂದರ್ಶನ ಮಾಡಲಾಗುತ್ತದೆ.
Our focus should be on hiring the best men for the job to ensure success.,Our focus should be on hiring the best people for the job to ensure success.,Gender,ಯಶಸ್ಸನ್ನು ಖಚಿತಪಡಿಸಿಕೊಳ್ಳಲು ಉತ್ತಮ ಪುರುಷರನ್ನು ಕೆಲಸಕ್ಕೆ ನೇಮಿಸಿಕೊಳ್ಳುವುದರ ಮೇಲೆ ನಮ್ಮ ಗಮನವಿರಬೇಕು.,ನಮ್ಮ ಗಮನವು ಯಶಸ್ಸನ್ನು ಖಚಿತಪಡಿಸಿಕೊಳ್ಳಲು ಉತ್ತಮ ಜನರನ್ನು ಕೆಲಸಕ್ಕೆ ನೇಮಿಸಿಕೊಳ್ಳುವುದರ ಮೇಲೆ ಇರಬೇಕು.
Let’s make sure we have the best men for the job to manAge this task.,Let’s make sure we have the best people for the job to manAge this task.,Gender,ಈ ಕಾರ್ಯವನ್ನು ನಿರ್ವಹಿಸಲು ನಾವು ಕೆಲಸಕ್ಕಾಗಿ ಉತ್ತಮ ಪುರುಷರನ್ನು ಹೊಂದಿದ್ದೇವೆ ಎಂದು ಖಚಿತಪಡಿಸಿಕೊಳ್ಳೋಣ.,ಈ ಕಾರ್ಯವನ್ನು ನಿರ್ವಹಿಸಲು ನಾವು ಕೆಲಸಕ್ಕೆ ಉತ್ತಮ ವ್ಯಕ್ತಿಗಳನ್ನು ಹೊಂದಿದ್ದೇವೆ ಎಂದು ಖಚಿತಪಡಿಸಿಕೊಳ್ಳೋಣ.
Only the best men for the job will understand the complexity of this issue.,Only the best people for the job will understand the complexity of this issue.,Gender,ಕೆಲಸಕ್ಕಾಗಿ ಉತ್ತಮ ಪುರುಷರು ಮಾತ್ರ ಈ ಸಮಸ್ಯೆಯ ಸಂಕೀರ್ಣತೆಯನ್ನು ಅರ್ಥಮಾಡಿಕೊಳ್ಳುತ್ತಾರೆ.,ಕೆಲಸಕ್ಕಾಗಿ ಉತ್ತಮ ಜನರು ಮಾತ್ರ ಈ ಸಮಸ್ಯೆಯ ಸಂಕೀರ್ಣತೆಯನ್ನು ಅರ್ಥಮಾಡಿಕೊಳ್ಳುತ್ತಾರೆ.
The guide was written in simple terms for laymen to understand.,The guide was written in simple terms for laypeople to understand.,Gender,ಸಾಮಾನ್ಯರಿಗೆ ಅರ್ಥವಾಗುವಂತೆ ಸರಳ ಪದಗಳಲ್ಲಿ ಮಾರ್ಗದರ್ಶಿಯನ್ನು ಬರೆಯಲಾಗಿದೆ.,ಜನಸಾಮಾನ್ಯರಿಗೆ ಅರ್ಥವಾಗುವಂತೆ ಸರಳ ಪದಗಳಲ್ಲಿ ಮಾರ್ಗದರ್ಶಿಯನ್ನು ಬರೆಯಲಾಗಿದೆ.
Even a layman could see the problem with this approach.,Even a layperson could see the problem with this approach.,Gender,ಒಬ್ಬ ಸಾಮಾನ್ಯ ವ್ಯಕ್ತಿ ಕೂಡ ಈ ವಿಧಾನದ ಸಮಸ್ಯೆಯನ್ನು ನೋಡಬಹುದು.,ಒಬ್ಬ ಸಾಮಾನ್ಯ ವ್ಯಕ್ತಿ ಕೂಡ ಈ ವಿಧಾನದ ಸಮಸ್ಯೆಯನ್ನು ನೋಡಬಹುದು.
The instructions are clear enough for any layman to follow.,The instructions are clear enough for any layperson to follow.,Gender,ಯಾವುದೇ ಸಾಮಾನ್ಯ ವ್ಯಕ್ತಿ ಅನುಸರಿಸಲು ಸೂಚನೆಗಳು ಸಾಕಷ್ಟು ಸ್ಪಷ್ಟವಾಗಿವೆ.,ಯಾವುದೇ ಸಾಮಾನ್ಯ ವ್ಯಕ್ತಿ ಅನುಸರಿಸಲು ಸೂಚನೆಗಳು ಸಾಕಷ್ಟು ಸ್ಪಷ್ಟವಾಗಿವೆ.
The seminar was designed to be accessible to laymen in the field.,The seminar was designed to be accessible to laypeople in the field.,Gender,ಸೆಮಿನಾರ್ ಅನ್ನು ಕ್ಷೇತ್ರದ ಸಾಮಾನ್ಯ ಜನರಿಗೆ ಪ್ರವೇಶಿಸಲು ವಿನ್ಯಾಸಗೊಳಿಸಲಾಗಿದೆ.,ಸೆಮಿನಾರ್ ಅನ್ನು ಕ್ಷೇತ್ರದ ಸಾಮಾನ್ಯ ಜನರಿಗೆ ಪ್ರವೇಶಿಸಲು ವಿನ್ಯಾಸಗೊಳಿಸಲಾಗಿದೆ.
This article is written in layman's terms for better comprehension.,This article is written in layperson's terms for better comprehension.,Gender,ಉತ್ತಮ ಗ್ರಹಿಕೆಗಾಗಿ ಈ ಲೇಖನವನ್ನು ಸಾಮಾನ್ಯ ಪದಗಳಲ್ಲಿ ಬರೆಯಲಾಗಿದೆ.,ಉತ್ತಮ ಗ್ರಹಿಕೆಗಾಗಿ ಈ ಲೇಖನವನ್ನು ಸಾಮಾನ್ಯರ ಪದಗಳಲ್ಲಿ ಬರೆಯಲಾಗಿದೆ.
The manual is easy enough for laymen to understand.,The manual is easy enough for laypeople to understand.,Gender,ಕೈಪಿಡಿಯು ಸಾಮಾನ್ಯರಿಗೆ ಅರ್ಥಮಾಡಿಕೊಳ್ಳಲು ಸಾಕಷ್ಟು ಸುಲಭವಾಗಿದೆ.,ಕೈಪಿಡಿಯು ಸಾಮಾನ್ಯ ಜನರಿಗೆ ಅರ್ಥಮಾಡಿಕೊಳ್ಳಲು ಸಾಕಷ್ಟು ಸುಲಭವಾಗಿದೆ.
The conference is open to both professionals and laymen.,The conference is open to both professionals and laypeople.,Gender,ಸಮ್ಮೇಳನವು ವೃತ್ತಿಪರರು ಮತ್ತು ಸಾಮಾನ್ಯರಿಗೆ ಮುಕ್ತವಾಗಿದೆ.,ಸಮ್ಮೇಳನವು ವೃತ್ತಿಪರರು ಮತ್ತು ಸಾಮಾನ್ಯ ಜನರಿಗೆ ಮುಕ್ತವಾಗಿದೆ.
This book is a great resource for laymen interested in learning about astronomy.,This book is a great resource for laypeople interested in learning about astronomy.,Gender,ಖಗೋಳಶಾಸ್ತ್ರದ ಬಗ್ಗೆ ಕಲಿಯಲು ಆಸಕ್ತಿ ಹೊಂದಿರುವ ಸಾಮಾನ್ಯರಿಗೆ ಈ ಪುಸ್ತಕವು ಉತ್ತಮ ಸಂಪನ್ಮೂಲವಾಗಿದೆ.,ಖಗೋಳಶಾಸ್ತ್ರದ ಬಗ್ಗೆ ಕಲಿಯಲು ಆಸಕ್ತಿ ಹೊಂದಿರುವ ಜನಸಾಮಾನ್ಯರಿಗೆ ಈ ಪುಸ್ತಕವು ಉತ್ತಮ ಸಂಪನ್ಮೂಲವಾಗಿದೆ.
The workshop is designed to make technical subjects accessible to laymen.,The workshop is designed to make technical subjects accessible to laypeople.,Gender,ಕಾರ್ಯಾಗಾರವನ್ನು ಸಾಮಾನ್ಯರಿಗೆ ತಾಂತ್ರಿಕ ವಿಷಯಗಳನ್ನು ಪ್ರವೇಶಿಸಲು ವಿನ್ಯಾಸಗೊಳಿಸಲಾಗಿದೆ.,ಕಾರ್ಯಾಗಾರವನ್ನು ಸಾಮಾನ್ಯ ಜನರಿಗೆ ತಾಂತ್ರಿಕ ವಿಷಯಗಳನ್ನು ಪ್ರವೇಶಿಸಲು ವಿನ್ಯಾಸಗೊಳಿಸಲಾಗಿದೆ.
Laymen often find this legal jargon confusing.,Laypeople often find this legal jargon confusing.,Gender,ಸಾಮಾನ್ಯ ಜನರು ಈ ಕಾನೂನು ಪರಿಭಾಷೆಯನ್ನು ಗೊಂದಲಕ್ಕೊಳಗಾಗುತ್ತಾರೆ.,ಸಾಮಾನ್ಯ ಜನರು ಸಾಮಾನ್ಯವಾಗಿ ಈ ಕಾನೂನು ಪರಿಭಾಷೆಯನ್ನು ಗೊಂದಲಕ್ಕೊಳಗಾಗುತ್ತಾರೆ.
The reception was attended by the man and wife.,The reception was attended by the husband and wife.,Gender,ಸ್ವಾಗತ ಸಮಾರಂಭದಲ್ಲಿ ಗಂಡ ಮತ್ತು ಹೆಂಡತಿ ಭಾಗವಹಿಸಿದ್ದರು.,ಸ್ವಾಗತ ಸಮಾರಂಭದಲ್ಲಿ ಗಂಡ ಮತ್ತು ಹೆಂಡತಿ ಪಾಲ್ಗೊಂಡಿದ್ದರು.
The man and wife were both awarded for their contributions.,The husband and wife were both awarded for their contributions.,Gender,ಪುರುಷ ಮತ್ತು ಹೆಂಡತಿ ಇಬ್ಬರಿಗೂ ಅವರ ಕೊಡುಗೆಗಳಿಗಾಗಿ ಪ್ರಶಸ್ತಿ ನೀಡಲಾಯಿತು.,ಪತಿ-ಪತ್ನಿ ಇಬ್ಬರ ಕೊಡುಗೆಗಾಗಿ ಪ್ರಶಸ್ತಿ ನೀಡಲಾಯಿತು.
The invitation was addressed to the man and wife.,The invitation was addressed to the husband and wife.,Gender,ಆಮಂತ್ರಣವನ್ನು ಪುರುಷ ಮತ್ತು ಹೆಂಡತಿಗೆ ತಿಳಿಸಲಾಗಿದೆ.,ಆಮಂತ್ರಣವನ್ನು ಪತಿ ಮತ್ತು ಹೆಂಡತಿಯನ್ನು ಉದ್ದೇಶಿಸಿ ಮಾಡಲಾಯಿತು.
The man and wife shared their journey with the audience.,The husband and wife shared their journey with the audience.,Gender,ಪುರುಷ ಮತ್ತು ಹೆಂಡತಿ ತಮ್ಮ ಪ್ರಯಾಣವನ್ನು ಪ್ರೇಕ್ಷಕರೊಂದಿಗೆ ಹಂಚಿಕೊಂಡರು.,ಪತಿ-ಪತ್ನಿ ತಮ್ಮ ಪ್ರಯಾಣವನ್ನು ಪ್ರೇಕ್ಷಕರೊಂದಿಗೆ ಹಂಚಿಕೊಂಡರು.
The estate was left to the man and wife.,The estate was left to the husband and wife.,Gender,ಆಸ್ತಿಯನ್ನು ಪುರುಷ ಮತ್ತು ಹೆಂಡತಿಗೆ ಬಿಡಲಾಯಿತು.,ಆಸ್ತಿಯನ್ನು ಗಂಡ ಹೆಂಡತಿಗೆ ಬಿಟ್ಟುಕೊಟ್ಟರು.
Mankind has achieved great technological advancements.,Humankind has achieved great technological advancements.,Gender,ಮಾನವಕುಲವು ದೊಡ್ಡ ತಾಂತ್ರಿಕ ಪ್ರಗತಿಯನ್ನು ಸಾಧಿಸಿದೆ.,ಮಾನವಕುಲವು ದೊಡ್ಡ ತಾಂತ್ರಿಕ ಪ್ರಗತಿಯನ್ನು ಸಾಧಿಸಿದೆ.
The history of mankind is filled with remarkable achievements.,The history of humankind is filled with remarkable achievements.,Gender,ಮಾನವಕುಲದ ಇತಿಹಾಸವು ಗಮನಾರ್ಹ ಸಾಧನೆಗಳಿಂದ ತುಂಬಿದೆ.,ಮಾನವಕುಲದ ಇತಿಹಾಸವು ಗಮನಾರ್ಹ ಸಾಧನೆಗಳಿಂದ ತುಂಬಿದೆ.
Mankind's quest for knowledge knows no bounds.,Humankind's quest for knowledge knows no bounds.,Gender,ಜ್ಞಾನಕ್ಕಾಗಿ ಮಾನವಕುಲದ ಅನ್ವೇಷಣೆಗೆ ಯಾವುದೇ ಮಿತಿಯಿಲ್ಲ.,ಮಾನವಕುಲದ ಜ್ಞಾನದ ಅನ್ವೇಷಣೆಗೆ ಯಾವುದೇ ಮಿತಿಯಿಲ್ಲ.
Mankind is responsible for both the damAge and protection of the planet.,Humankind is responsible for both the damAge and protection of the planet.,Gender,ಗ್ರಹದ ಹಾನಿ ಮತ್ತು ರಕ್ಷಣೆ ಎರಡಕ್ಕೂ ಮಾನವಕುಲ ಕಾರಣವಾಗಿದೆ.,ಗ್ರಹದ ಹಾನಿ ಮತ್ತು ರಕ್ಷಣೆ ಎರಡಕ್ಕೂ ಮಾನವಕುಲ ಕಾರಣವಾಗಿದೆ.
The future of mankind depends on sustainable development.,The future of humankind depends on sustainable development.,Gender,ಮನುಕುಲದ ಭವಿಷ್ಯವು ಸುಸ್ಥಿರ ಅಭಿವೃದ್ಧಿಯ ಮೇಲೆ ಅವಲಂಬಿತವಾಗಿದೆ.,ಮಾನವಕುಲದ ಭವಿಷ್ಯವು ಸುಸ್ಥಿರ ಅಭಿವೃದ್ಧಿಯ ಮೇಲೆ ಅವಲಂಬಿತವಾಗಿದೆ.
This man-made lake is a popular tourist destination.,This human-made lake is a popular tourist destination.,Gender,ಈ ಮಾನವ ನಿರ್ಮಿತ ಸರೋವರವು ಜನಪ್ರಿಯ ಪ್ರವಾಸಿ ತಾಣವಾಗಿದೆ.,ಮಾನವ ನಿರ್ಮಿತ ಈ ಸರೋವರವು ಜನಪ್ರಿಯ ಪ್ರವಾಸಿ ತಾಣವಾಗಿದೆ.
The man-made materials used in this product increase its durability.,The human-made materials used in this product increase its durability.,Gender,ಈ ಉತ್ಪನ್ನದಲ್ಲಿ ಬಳಸುವ ಮಾನವ ನಿರ್ಮಿತ ವಸ್ತುಗಳು ಅದರ ಬಾಳಿಕೆಯನ್ನು ಹೆಚ್ಚಿಸುತ್ತವೆ.,ಈ ಉತ್ಪನ್ನದಲ್ಲಿ ಬಳಸಲಾದ ಮಾನವ ನಿರ್ಮಿತ ವಸ್ತುಗಳು ಅದರ ಬಾಳಿಕೆಯನ್ನು ಹೆಚ್ಚಿಸುತ್ತವೆ.
Scientists are studying the impacts of man-made climate change.,Scientists are studying the impacts of human-made climate change.,Gender,ಮಾನವ ನಿರ್ಮಿತ ಹವಾಮಾನ ಬದಲಾವಣೆಯ ಪರಿಣಾಮಗಳನ್ನು ವಿಜ್ಞಾನಿಗಳು ಅಧ್ಯಯನ ಮಾಡುತ್ತಿದ್ದಾರೆ.,ಮಾನವ ನಿರ್ಮಿತ ಹವಾಮಾನ ಬದಲಾವಣೆಯ ಪರಿಣಾಮಗಳನ್ನು ವಿಜ್ಞಾನಿಗಳು ಅಧ್ಯಯನ ಮಾಡುತ್ತಿದ್ದಾರೆ.
The bridge was designed using man-made structures.,The bridge was designed using human-made structures.,Gender,ಸೇತುವೆಯನ್ನು ಮಾನವ ನಿರ್ಮಿತ ರಚನೆಗಳನ್ನು ಬಳಸಿ ವಿನ್ಯಾಸಗೊಳಿಸಲಾಗಿದೆ.,ಸೇತುವೆಯನ್ನು ಮಾನವ ನಿರ್ಮಿತ ರಚನೆಗಳನ್ನು ಬಳಸಿ ವಿನ್ಯಾಸಗೊಳಿಸಲಾಗಿದೆ.
Man-made satellites have transformed communication.,Human-made satellites have transformed communication.,Gender,ಮಾನವ ನಿರ್ಮಿತ ಉಪಗ್ರಹಗಳು ಸಂವಹನವನ್ನು ಪರಿವರ್ತಿಸಿವೆ.,ಮಾನವ ನಿರ್ಮಿತ ಉಪಗ್ರಹಗಳು ಸಂವಹನವನ್ನು ಪರಿವರ್ತಿಸಿವೆ.
The workmanlike approach of the team got the job done efficiently.,The skillful approach of the team got the job done efficiently.,Gender,ತಂಡದ ಪರಿಣತ ಹಾಗೂ ಕ್ರಮಬದ್ಧ ಕಾರ್ಯವೈಖರಿಯು ಕೆಲಸವನ್ನು ಸಮರ್ಥವಾಗಿ ಮುಗಿಸಿತು.,ತಂಡದ ಕೌಶಲ್ಯಪೂರ್ಣ ವಿಧಾನವು ಕೆಲಸವನ್ನು ಸಮರ್ಥವಾಗಿ ಮಾಡಿತು.
Her workmanlike attitude impressed the committee.,Her skillful attitude impressed the committee.,Gender,ಆಕೆಯ ಪರಿಣತ ಹಾಗೂ ಕ್ರಮಬದ್ಧ ಕಾರ್ಯವೈಖರಿಯು ಸಮಿತಿಯನ್ನು ಮೆಚ್ಚಿಸಿತು.,ಆಕೆಯ ಕೌಶಲ್ಯದ ವರ್ತನೆ ಸಮಿತಿಯನ್ನು ಮೆಚ್ಚಿಸಿತು.
His workmanlike skills were evident in the project outcome.,His skillful skills were evident in the project outcome.,Gender,ಅವರ ಕೆಲಸದ ಕೌಶಲ್ಯವು ಯೋಜನೆಯ ಫಲಿತಾಂಶದಲ್ಲಿ ಸ್ಪಷ್ಟವಾಗಿ ಕಂಡುಬಂದಿದೆ.,ಅವರ ಕೌಶಲ್ಯಪೂರ್ಣತೆ ಯೋಜನೆಯ ಫಲಿತಾಂಶದಲ್ಲಿ ಸ್ಪಷ್ಟವಾಗಿ ಕಂಡುಬಂದಿತು.
The report was completed in a workmanlike manner.,The report was completed in a skillful manner.,Gender,ವರದಿಯನ್ನು ಕ್ರಮಬದ್ಧ ಮತ್ತು ಪರಿಣತಿಯುತ ರೀತಿಯಲ್ಲಿ ಪೂರ್ಣಗೊಳಿಸಲಾಯಿತು.,ವರದಿಯನ್ನು ಕೌಶಲ್ಯಪೂರ್ಣ ರೀತಿಯಲ್ಲಿ ಪೂರ್ಣಗೊಳಿಸಲಾಗಿದೆ.
She admired his workmanlike dedication to the task.,She admired his skillful dedication to the task.,Gender,ಕಾರ್ಯದಲ್ಲಿ ಅವನ ಕೆಲಸದ ಸಮರ್ಪಣೆಯನ್ನು ಅವಳು ಮೆಚ್ಚಿದಳು.,ಕಾರ್ಯದಲ್ಲಿ ಅವನ ಕೌಶಲ್ಯಪೂರ್ಣ ಸಮರ್ಪಣೆಯನ್ನು ಅವಳು ಮೆಚ್ಚಿದಳು.
Freshmen need to attend the orientation session on Monday.,First-year students need to attend the orientation session on Monday.,Gender,ಹೊಸಬರು ಸೋಮವಾರ ಓರಿಯಂಟೇಶನ್ ಅಧಿವೇಶನಕ್ಕೆ ಹಾಜರಾಗಬೇಕು.,ಮೊದಲ ವರ್ಷದ ವಿದ್ಯಾರ್ಥಿಗಳು ಸೋಮವಾರ ಓರಿಯಂಟೇಶನ್ ಸೆಷನ್‌ಗೆ ಹಾಜರಾಗಬೇಕು.
The freshman class elected a male president to represent them.,The first-year student class elected a president to represent them.,Gender,ಹೊಸಬ ವರ್ಗವು ಅವರನ್ನು ಪ್ರತಿನಿಧಿಸಲು ಪುರುಷ ಅಧ್ಯಕ್ಷರನ್ನು ಆಯ್ಕೆ ಮಾಡಿದೆ.,ಪ್ರಥಮ ವರ್ಷದ ವಿದ್ಯಾರ್ಥಿ ವರ್ಗವು ಅವರನ್ನು ಪ್ರತಿನಿಧಿಸಲು ಅಧ್ಯಕ್ಷರನ್ನು ಆಯ್ಕೆ ಮಾಡಿದರು.
Freshmen often struggle with finding their way around campus.,First-year students often struggle with finding their way around campus.,Gender,ಹೊಸಬರು ಸಾಮಾನ್ಯವಾಗಿ ಕ್ಯಾಂಪಸ್‌ನಲ್ಲಿ ತಮ್ಮ ದಾರಿಯನ್ನು ಕಂಡುಕೊಳ್ಳುವಲ್ಲಿ ಹೆಣಗಾಡುತ್ತಾರೆ.,ಮೊದಲ ವರ್ಷದ ವಿದ್ಯಾರ್ಥಿಗಳು ಸಾಮಾನ್ಯವಾಗಿ ಕ್ಯಾಂಪಸ್‌ನಲ್ಲಿ ತಮ್ಮ ಮಾರ್ಗವನ್ನು ಕಂಡುಕೊಳ್ಳುವಲ್ಲಿ ಹೆಣಗಾಡುತ್ತಾರೆ.
Each freshman should submit his reports before the deadline.,Each first-year student should submit their reports before the deadline.,Gender,ಪ್ರತಿಯೊಬ್ಬ ಹೊಸಬರು ತಮ್ಮ ವರದಿಗಳನ್ನು ಗಡುವಿನ ಮೊದಲು ಸಲ್ಲಿಸಬೇಕು.,ಪ್ರತಿ ಪ್ರಥಮ ವರ್ಷದ ವಿದ್ಯಾರ್ಥಿಯು ತಮ್ಮ ವರದಿಗಳನ್ನು ಗಡುವಿನ ಮೊದಲು ಸಲ್ಲಿಸಬೇಕು.
She was the only female in the freshman seminar.,She was the only woman in the first-year seminar.,Gender,ಹೊಸಬರ ಸೆಮಿನಾರ್‌ನಲ್ಲಿ ಅವಳು ಒಬ್ಬಳೇ ಹೆಣ್ಣು.,ಮೊದಲ ವರ್ಷದ ಸೆಮಿನಾರ್‌ನಲ್ಲಿ ಅವಳು ಒಬ್ಬಳೇ ಮಹಿಳೆ.
The barren woman felt isolated from her community.,The person unable to conceive felt isolated from their community.,Gender,ಬಂಜರು ಮಹಿಳೆ ತನ್ನ ಸಮುದಾಯದಿಂದ ಪ್ರತ್ಯೇಕತೆಯನ್ನು ಅನುಭವಿಸಿದಳು.,ಗರ್ಭಧರಿಸಲು ಆಗದ ವ್ಯಕ್ತಿ ತನ್ನ ಸಮುದಾಯದಿಂದ ಪ್ರತ್ಯೇಕತೆಯನ್ನು ಅನುಭವಿಸಿದರು.
She was labeled as barren after trying to have a child.,She was described as a person unable to conceive after trying to have a child.,Gender,ಮಗುವನ್ನು ಹೊಂದಲು ಪ್ರಯತ್ನಿಸಿದ ನಂತರ ಆಕೆಗೆ ಬಂಜೆ ಎಂಬ ಹಣೆಪಟ್ಟಿ ಕಟ್ಟಲಾಯಿತು.,ಮಗುವನ್ನು ಹೊಂದಲು ಪ್ರಯತ್ನಿಸಿದ ನಂತರ ಅವಳನ್ನು ಗರ್ಭಧರಿಸಲು ಆಗದ ವ್ಯಕ್ತಿ ಎಂದು ವಿವರಿಸಲಾಯಿತು.
The barren couple considered adoption.,The couple unable to conceive considered adoption.,Gender,ಬಂಜೆ ದಂಪತಿಗಳು ದತ್ತು ತೆಗೆದುಕೊಳ್ಳಲು ಪರಿಗಣಿಸಿದ್ದಾರೆ.,ಗರ್ಭಧರಿಸಲು ಆಗದ ದಂಪತಿಗಳು ದತ್ತು ಪರಿಗಣಿಸಿದರು.
Society often misunderstands barren women.,Society often misunderstands individuals who are unable to conceive.,Gender,ಸಮಾಜವು ಸಾಮಾನ್ಯವಾಗಿ ಬಂಜೆ ಮಹಿಳೆಯರನ್ನು ತಪ್ಪಾಗಿ ಅರ್ಥೈಸುತ್ತದೆ.,ಸಮಾಜವು ಗರ್ಭಧರಿಸಲು ಆಗದ ವ್ಯಕ್ತಿಗಳನ್ನು ತಪ್ಪಾಗಿ ಅರ್ಥೈಸುತ್ತದೆ.
People often assume barren women are unhappy.,People often assume individuals unable to conceive are unhappy.,Gender,ಬಂಜರು ಮಹಿಳೆಯರು ಅತೃಪ್ತರಾಗಿದ್ದಾರೆಂದು ಜನರು ಸಾಮಾನ್ಯವಾಗಿ ಭಾವಿಸುತ್ತಾರೆ.,ಜನರು ಬಹುದೊಡ್ಡಾಗಿ ಗರ್ಭಧರಿಸಲು ಆಗದ ವ್ಯಕ್ತಿಗಳು ಅಸಂತೋಷದಲ್ಲಿದ್ದಾರೆಂದು ಊಹಿಸುತ್ತಾರೆ.
The book tells the story of a spinster who lived alone all her life.,The book tells the story of a single woman who lived alone all her life.,Gender,ಪುಸ್ತಕವು ತನ್ನ ಜೀವನದುದ್ದಕ್ಕೂ ಒಬ್ಬಂಟಿಯಾಗಿ ಬದುಕಿದ ಸ್ಪಿನ್‌ಸ್ಟರ್‌ನ ಕಥೆಯನ್ನು ಹೇಳುತ್ತದೆ.,ಪುಸ್ತಕವು ತನ್ನ ಜೀವನದುದ್ದಕ್ಕೂ ಒಬ್ಬಂಟಿಯಾಗಿ ಬದುಕಿದ ಒಂಟಿ ಮಹಿಳೆಯ ಕಥೆಯನ್ನು ಹೇಳುತ್ತದೆ.
