ID,non-inclusive German,inclusive German
841,Meine Nachbarin hat mir für den Frühjahrsputz eine gute Putzfrau empfohlen.,Mein Nachbar hat mir für den Frühjahrsputz eine gute Reinigungskraft empfohlen.
842,Die Putzfrau hat bei den Fenstern hervorragende Arbeit geleistet.,Die Reinigungskraft hat bei den Fenstern hervorragende Arbeit geleistet.
843,"Wenn die Putzfrau fertig ist, sieht das Haus makellos aus.","Wenn die Reinigungskraft fertig ist, sieht das Haus makellos aus."
844,Die Putzmänner werden um 9 Uhr morgens eintreffen.,Die Reinigungskräfte werden um 9 Uhr morgens eintreffen.
845,Wir müssen mehr Putzmänner für das neue Büro einstellen.,Wir müssen mehr Reinigungskräfte für das neue Büro einstellen.
846,Die Putzmänner arbeiten gründlich und effizient.,Die Reinigungskräfte arbeiteten gründlich und effizient.
847,Trevor arbeitet als einer der besten Putzmänner im Unternehmen.,Trevor arbeitet als eine der besten Reinigungskräfte im Unternehmen.
848,Der Vorgesetzte teile den Putzmännern verschiedene Etagen zu.,Der Vorgesetzte teilte die Reinigungskräfte verschiedenen Etagen zu.
849,Die Putzfrauen räumen das Büro nach Feierabend auf.,Die Reinigungskräfte räumen das Büro nach Feierabend auf.
850,Wir stellen regelmäßig neue Putzfrauen für das Hotel ein.,Wir stellen regelmäßig neue Reinigungskräfte für das Hotel ein.
851,"Die Putzfrauen sorgen jeden Tag dafür, dass die Schule makellos sauber ist.","Die Reinigungskräfte sorgen jeden Tag dafür, dass die Schule makellos sauber ist."
852,"Ich muss die Putzfrau anrufen, um einen Termin für die Reinigung der Wohnung zu vereinbaren.","Ich muss die Reinigungskraft anrufen, um einen Termin für die Reinigung der Wohnung zu vereinbaren."
853,"Um eine saubere Umgebung zu gewährleisten, ist das Unternehmen auf Putzfrauen angewiesen.","Um eine saubere Umgebung zu gewährleisten, ist das Unternehmen auf Reinigungskräfte angewiesen."
854,Der Vorarbeiter legte den Zeitplan für die Bauarbeiter fest.,Der/Die Vorgesetzte legte den Zeitplan für die Bauarbeiter fest.
855,Der Vorarbeiter war für die Sicherheitsunterweisung auf der Baustelle verantwortlich.,Der/Die Vorgesetzte war für die Sicherheitsunterweisung vor Ort verantwortlich.
856,Bei Fragen wenden Sie sich bitte an den Vorarbeiter.,Bei Fragen wenden Sie sich bitte an die Vorgesetzte/den Vorgesetzten.
857,Der Vorarbeiter überprüfte die Ausrüstung vor Beginn der Arbeiten.,Der/Die Vorgesetzte überprüfte die Ausrüstung vor Beginn der Arbeiten.
858,Der Vorarbeiter und sein Team haben das Projekt pünktlich abgeschlossen.,Der/Die Vorgesetzte und sein/ihr Team haben das Projekt pünktlich abgeschlossen.
859,Die Vorarbeiter sind für die Organisation der Teams vor Ort verantwortlich.,Die Vorgesetzten sind für die Organisation des Teams vor Ort verantwortlich.
860,"Alle Vorarbeiter sind verpflichtet, an der Sicherheitsunterweisung teilzunehmen.","Alle Vorgesetzten sind verpflichtet, an der Sicherheitsunterweisung teilzunehmen."
861,Die Vorarbeiter verteilen die Aufgaben an die Arbeiter.,Die Vorgesetzten verteilen die Aufgaben an die Arbeiter.
862,"Stellen Sie sicher, dass die Vorarbeiter die Projektpläne genehmigt haben.","Stellen Sie sicher, dass die Vorgesetzten die Projektpläne genehmigt haben."
863,"Die Vorarbeiter müssen sicherstellen, dass die gesamte Ausrüstung funktionsfähig ist.","Die Vorgesetzten müssen sicherstellen, dass die gesamte Ausrüstung funktionsfähig ist."
864,"Die Vorarbeiterin war die Einzige, die in diesem Jahr eine Prämie erhielt.",Die/Der Vorgesetzte erhielt dieses Jahr als einzige/einziger einen Bonus.
865,Die Vorarbeiterin führte das Team trotz der Herausforderungen zum Erfolg.,Der/Die Vorgesetzte führte das Team trotz der Herausforderungen zum Erfolg.
866,Alle lobten die Vorarbeiterin für ihre hervorragenden Managementfähigkeiten.,Der/Die Vorgesetzte wurde von allen für hervorragende Managementfähigkeiten gelobt.
867,"Die Vorarbeiterin stellte sicher, dass alle Sicherheitsprotokolle vor Ort eingehalten wurden.","Der/Die Vorgesetzte stellte sicher, dass alle Sicherheitsprotokolle vor Ort eingehalten wurden."
868,Die Vorarbeiterin wandte sich vor Projektbeginn an die Mannschaft.,Der/Die Vorgesetzte wandte sich vor Projektbeginn an die Crew.
869,Die Vorarbeiterinnen der Abteilung verteilten die Aufgaben.,Die Vorgesetzten der Abteilung verteilten die Aufgaben.
870,Die Vorarbeiterin war für die Schulung der neuen Mitarbeiter verantwortlich.,Der/Die Vorgesetzte war für die Schulung der neuen Mitarbeitenden verantwortlich.
871,An der Vorstandssitzung nahmen nur die Vorarbeiterinnen teil.,An der Vorstandssitzung nahmen nur die Vorgesetzten teil.
872,Die Vorarbeiterin leitete das gesamte Team effizient.,Der/Die Vorgesetzte leitete das gesamte Team effizient.
873,Die Vorarbeiterinnen in unserer Fabrik sind für ihre Führungsqualitäten bekannt.,Die Vorgesetzten in unserer Fabrik sind für ihre Führungsqualitäten bekannt.
874,Sie gewann dieses Jahr den Preis als beste Schauspielerin.,Sie gewann dieses Jahr den Preis als beste Schauspielerin.
875,Die Schauspielerin lieferte im Film eine herausragende Leistung ab.,Die Schauspielerin/Der Schauspieler lieferte im Film eine herausragende Leistung ab.
876,Er bewunderte immer ihre Arbeit als Schauspielerin.,Er bewunderte immer ihre Arbeit als Schauspielerin.
877,Die Schauspielerinnen wurden alle für ihre Hauptrollen nominiert.,Die Darstellenden wurden alle für ihre Hauptrollen nominiert.
878,Sie wurde als Schauspielerin für romantischen Komödien eingestuft.,Sie wurde als Schauspielerin für romantischen Komödien eingestuft.
879,Die Schauspielerinnen kamen zur Zeremonie auf dem roten Teppich.,Die Darstellenden kamen zur Zeremonie auf dem roten Teppich.
880,Zum Vorsprechen für den neuen Film wurden ausschließlich Schauspielerinnen eingeladen.,Zum Vorsprechen für den neuen Film wurden ausschließlich Darstellende eingeladen.
881,Bei der Preisverleihung wurden die Leistungen der Schauspielerinnen in der Branche gewürdigt.,Bei der Preisverleihung wurden die Leistungen de Darstellenden in der Branche gewürdigt.
882,Die Schauspielerinnen probten ihre Texte für das Stück.,Die Besetzung probte ihre Texte für das Stück.
883,Der Regisseur lobte die Schauspielerinnen für ihre unglaublichen Leistungen.,Der Regisseur lobte die Besetzung für ihre unglaublichen Leistungen.
884,Die Veranstaltung feiert die Errungenschaften großer Heldinnen der Geschichte.,Die Veranstaltung feiert die Errungenschaften großer Schlüsselpersonen der Geschichte.
885,"Im Roman schließen sich alle Heldinnen zusammen, um den Tag zu retten.","Im Roman schließen sich alle Hauptpersonen zusammen, um den Tag zu retten."
886,Die Preisverleihung hob die Leistungen weiblicher Heldinnen in der Wissenschaft hervor.,Die Preisverleihung hob die Leistungen von Schlüsselpersonen in der Wissenschaft hervor.
887,Heldinnen der Vergangenheit ebneten den Weg für zukünftige Generationen von Frauen.,Schlüsselpersonen der Vergangenheit ebneten den Weg für zukünftige Generationen.
888,Im Film begeben sich die Heldinnen auf eine Reise der Selbstfindung.,Im Film begeben sich die Hauptpersonen auf eine Reise der Selbstfindung.
889,Die Komikerin lieferte gestern Abend einen urkomischen Auftritt ab.,Die Komikerin/Der Komiker lieferte gestern Abend einen urkomischen Auftritt ab.
890,Viele Komikerinnen haben den Weg für Frauen in der Comedy-Branche geebnet.,Viele Komikerinnen und Komiker haben den Weg für Frauen in der Comedy-Branche geebnet.
891,"Sie war die erste Komikerin, die den Preis gewann.","Sie war die erste Komikerin, die den Preis gewann."
892,"Das Gremium bestand aus Autoren, Regisseuren und einer Komikerin.","Das Gremium bestand aus Schreibenden, Regieführenden und einer Komikerin/einem Komiker."
893,Auf dem Festival traten mehrere talentierte Komiker auf.,Auf dem Festival traten mehrere talentierte Komikerinnen und Komiker auf.
894,Auf dem Festival werden mehrere talentierte Komikerinnen auftreten.,Auf dem Festival werden mehrere talentierte Komikerinnen und Komiker auftreten.
895,In den Anfängen des Fernsehens erhielten Komikerinnen kaum Sendeplätze zur Hauptsendezeit. ,In den Anfängen des Fernsehens erhielten Komikerinnen und Komiker kaum Sendeplätze zur Hauptsendezeit.
896,"Der Workshop soll angehenden Komikerinnen dabei helfen, ihre Fähigkeiten weiterzuentwickeln.","Der Workshop soll angehenden Komikerinnen und Komikern dabei helfen, ihre Fähigkeiten weiterzuentwickeln."
897,"Sie war eine der ersten Komikerinnen, die in diesem renommierten Club auftraten.","Sie war eine der ersten Komiker und Komikerinnen, die in diesem renommierten Club auftraten."
898,Der Preis für die beste Komikerin des Jahres wird im Rahmen der Gala bekannt gegeben.,Der Preis für die beste Komikerin/den besten Komiker des Jahres wird im Rahmen der Gala bekannt gegeben.
899,In diesen Angelegenheiten hat die Testamentsvollstreckerin das letzte Wort.,In diesen Angelegenheiten hat die Testamentvollstreckerin/der Testamentvollstrecker das letzte Wort.
900,Als Testamentsvollstreckerin verwaltete sie den Nachlass mit großer Sorgfalt und Aufmerksamkeit.,Als Testamentvollstreckerin/Testamentvollstrecker verwaltete sie/er den Nachlass mit großer Sorgfalt und Aufmerksamkeit.
901,Der Anwalt erläuterte der Familie die Pflichten einer Testamentsvollstreckerin.,Der Anwalt erläuterte der Familie die Pflichten einer Testamentsvollstreckerin/eines Testamentvollstreckers.
902,Ihre Rolle als Testamentsvollstreckerin erforderte eine sorgfältige Buchführung.,Die Rolle als Testamentvollstreckerin/Testamentvollstrecker erforderte eine sorgfältige Buchführung.
903,Nach der Verlesung des Testaments wandte sich die Testamentsvollstreckerin an die Begünstigten.,Nach der Verlesung des Testaments wandte sich die Testamentsvollstreckerin/der Testamentvollstrecker an die Begünstigten.
904,Die Testamentsvollstrecker finalisierten die Nachlasspläne.,Die Testamentsvollstrecker und Testamentvollstreckerinnen finalisierten die Nachlasspläne.
905,Sie ist eine der talentiertesten Testamentvollstreckerinnen in der Kanzlei.,Sie ist eine der talentiertesten Testamentvollstreckerinnen und Testamentvollstrecker in der Kanzlei.
906,"Die Testamentvollstrecker treffen sich morgen, um den Fall zu besprechen.","Die Testamentvollstreckerinnen und Testamentvollstrecker treffen sich morgen, um den Fall zu besprechen."
907,Nur Testamentvollstreckerinnen können solche komplexen Rechtsfragen bearbeiten.,Nur Testamentvollstreckerinnen und Testamentvollstrecker können solche komplexen Rechtsfragen bearbeiten.
908,Als Testamentsvollstreckerinnen sind sie für die Verteilung des Vermögens verantwortlich.,Als Testamentvollstreckerinnen und Testamentsvollstrecker sind sie für die Verteilung des Vermögens verantwortlich.
909,"Im Testament wurde erwähnt, dass nur weibliche Testamentsvollstrecker ernannt wurden.","Im Testament wurde erwähnt, dass nur weibliche Testamentsvollstreckerinnen ernannt wurden."
910,Historisch betrachtet wurden Testamentsvollstreckerinnen oft für Familiengüter ausgewählt.,Historisch betrachtet wurden Testamentsvollstreckerinnen und Testamentvollstrecker oft für Familiengüter ausgewählt.
911,"Sie war stolz darauf, eine der ersten Testamentsvollstreckerinnen ihrer Familie zu sein.","Sie war stolz darauf, eine der ersten Testamentsvollstreckerinnen ihrer Familie zu sein."
912,"Die Testamentsvollstrecker kamen zusammen, um die Zukunft des Anwesens zu besprechen.","Die Testamentvollstrecker und Testamentsvollstrecker kamen zusammen, um die Zukunft des Anwesens zu besprechen."
913,Früher wurden Frauen nur als Testamentsvollstrecker anerkannt.,Früher wurden Frauen nur als Testamentsvollstreckerinnen anerkannt.
914,Die Dichterin teilte bei der Veranstaltung ihre Verse.,Die dichtende Person teilte bei der Veranstaltung ihre Verse.
915,Sie strebt danach eines Tages ein berühmter Dichter zu werden.,"Sie strebt danach, eines Tages eine berühmte Dichterin zu werden."
916,Viele berühmte Dichter haben zur Literatur beigetragen.,Viele berühmte Dichterinnen und Dichter haben zur Literatur beigetragen.
917,Der Jury gehörten mehrere angesehene Dichterinnen an.,Der Jury gehörten mehrere angesehene Dichterinnen und Dichter an.
918,Ihre Arbeit als Dichterin hat viele junge Mädchen inspiriert.,Ihre Arbeit als dichtende Person hat viele junge Schreibende inspiriert.
919,Die Dichter der Veranstaltung faszinierten das Publikum mit ihren Lesungen.,Die Dichterinnen und Dichter der Veranstaltung faszinierten das Publikum mit ihren Lesungen.
920,Sie ist eine der berühmtesten Dichterinnen des Landes.,Sie ist eine der berühmtesten Dichterinnen und Dichter des Landes.
921,Die Werke von Dichterinnen des 19. Jahrhunderts werden oft übersehen.,Die Werke von Dichterinnen und Dichtern des 19. Jahrhunderts werden oft übersehen.
922,Die Anthologie stellt mehrere aufstrebende Dichterinnen aus der Region vor.,Die Anthologie stellt mehrere aufstrebende Dichterinnen und Dichter aus der Region vor.
923,"Die Dichterin schrieb mit einer einzigartigen Stimme, die bei vielen Anklang fand.","Die dichtende Person schrieb mit einer einzigartigen Stimme, die bei vielen Anklang fand."
924,Die Platzanweiserin führte uns zu unseren Plätzen im Theater.,Die Platzanweiserin/Der Platzanweiser führte uns zu unseren Plätzen im Theater.
925,"Als Platzanweiserin bestand ihre Aufgabe darin, den Gästen bei der Suche nach ihren Plätzen zu helfen.","Die Aufgabe einer Platzanweiserin/eines Platzanweisers bestand darin, den Gästen bei der Suche nach ihren Plätzen zu helfen."
926,"Das Kino beschäftigte mehrere Platzanweiserinnen, um während des Filmfestivals zu helfen.","Das Kino beschäftigte mehrere Platzanweiserinnen und Platzanweiser, um während des Filmfestivals zu helfen."
927,Sie arbeitete jedes Wochenende als Platzanweiserin im Konzertsaal.,Sie/Er arbeitete jedes Wochenende als Platzanweiserin/ Platzanweiser im Konzertsaal.
928,Der Platzanweiser verteilte vor Beginn der Show Programme.,Die Platzanweiserin/Der Platzanweiser verteilte vor Beginn der Show Programme.
929,"Die Platzanweiser sorgten dafür, dass jeder schnell seinen Platz fand.","Die Platzanweiser und Platzanweiserinnen sorgten dafür, dass jeder schnell seinen Platz fand."
930,"Wir brauchen mehr Platzanweiser, die die Menschen bei der Veranstaltung anleiten.","Wir brauchen mehr Platzanweiserinnen und Platzanweiser, die die Menschen bei der Veranstaltung anleiten."
931,Das Theater engagiert nur Frauen als Platzanweiser für Abendvorstellungen.,Das Theater engagiert Personen jeden Geschlechts als Platzanweiserinnen und Platzanweiser für Abendvorstellungen.
932,"Ihr Traum war es, als Platzanweiser in einem großen Theater zu arbeiten.","Ihr Traum war es, als Platzanweiserin in einem großen Theater zu arbeiten."
933,Die Platzanweiserinnen trugen für die Gala passende Kleider.,Die Platzanweiserinnen und Platzanweiser trugen zur Gala passende Uniformen.
934,Die Autorin erhielt die Auszeichnung für ihren Roman.,Die bücherschreibende Person erhielt eine Auszeichnung für ihren Roman.
935,Viele berühmte Autoren haben zur Literatur beigetragen.,Viele berühmte Autorinnen und Autoren haben zur Literatur beigetragen.
936,Sie strebte danach ein Autor zu werden wie ihre Lieblingsschriftsteller.,Sie strebte danach eine Autorin zu werden wie ihre Lieblingsschriftstellerinnen und -schriftsteller.
937,Die Veranstaltung würdigte die Leistungen renommierter Autoren.,Die Veranstaltung würdigte die Leistungen renommierter Autorinnen und Autoren.
938,Kritiker lobten die Autorin für ihren einzigartigen Schreibstil.,Kritiker lobten die bücherschreibende Person für ihren einzigartigen Schreibstil.
939,Der Buchclub lud mehrere Autoren zu seinem Jahrestreffen ein.,Der Buchclub lud mehrere Autorinnen und Autoren zu seinem Jahrestreffen ein.
940,Auf der Konferenz werden führende Autoren des Mystery-Genres vertreten sein.,Auf der Konferenz werden führende Autorinnen und Autoren des Mystery-Genres vertreten sein.
941,Während ihres Literaturstudiums bewunderte sie die Werke von Autorinnen des 19. Jahrhunderts.,Während ihres Literaturstudiums bewunderte sie die Werke von Autorinnen und Autoren des 19. Jahrhunderts.
942,"An der Podiumsdiskussion nahmen Autoren teil, die ihre Erfahrungen im Verlagswesen austauschten.","An der Podiumsdiskussion nahmen Autorinnen und Autoren teil, die ihre Erfahrungen im Verlagswesen austauschten."
943,Junge Mädchen brauchen mehr Vorbilder wie erfolgreiche Autorinnen.,Junge Leute brauchen mehr Vorbilder wie erfolgreiche Autorinnen und Autoren.
945,Unser Team hat eine neue Chefin.,In unserem Team hat die Leitung gewechselt.
946,"Diese Chefin weiß wirklich, wie man ein Meeting leitet.",Das Meeting wurde wirklich hervorragend geleitet.
947,Jeder respektiert die Chefin für ihre Führungsqualitäten.,Jeder respektiert Führungsqualitäten unserer Leitung.
948,Die Chefin hat klare Erwartungen an unser Team formuliert.,Es wurden klare Erwartungen an unser Team formuliert.
950,Die Chefinnen unseres Unternehmens bringen immer frische Ideen mit.,Die Leitung unseres Unternehmens bringen immer frische Ideen mit.
952,Beim Treffen der Chefinnen wurde die Bedeutung der Work-Life-Balance betont.,Beim Treffen der Leitungspersonen wurde die Bedeutung der Work-Life-Balance betont.
953,"Die Networking-Veranstaltung war eine großartige Gelegenheit für die Chefinnen, mit Gleichgesinnten in Kontakt zu treten.","Die Networking-Veranstaltung war eine großartige Gelegenheit für Führungskräfte, mit anderen in Kontakt zu treten."
954,Die Kellnerin brachte uns unsere Getränke.,Die Bedienung brachte uns unsere Getränke.
955,Ich habe der freundlichen Kellnerin ein Trinkgeld hinterlassen.,Ich habe der freundlichen Bedienung ein Trinkgeld gegeben.
956,Die Kellnerin war während unseres Essens sehr aufmerksam.,Die Bedienung war während unseres Essens sehr aufmerksam.
957,Das Restaurant hat letzte Woche eine neue Kellnerin eingestellt.,Das Restaurant hat letzte Woche eine neue Servicekraft eingestellt.
958,Im Café waren mehrere Kellnerinnen im Dienst.,Im Café waren mehrere Servicekräfte im Einsatz
959,Das Restaurant stellte für die Abendschicht mehr Kellnerinnen ein.,Das Restaurant stellte mehr Servicekräfte für die Abendschicht ein.
960,Die Kellnerinnen waren sehr aufmerksam und höflich.,Die Servicekräfte waren sehr aufmerksam und höflich.
961,Er gab den Kellnerinnen im Diner großzügige Trinkgelder.,Er gab den Servicekräften im Diner großzügige Trinkgelder.
962,Kellnerinnen sollten Kunden immer mit einem Lächeln begrüßen.,Servicekräfte sollten die Kundschaft immer mit einem Lächeln begrüßen.
963,Die Kellnerinnen im Café kennen die meisten Stammgäste mit Namen.,Die Servicekräfte im Café kennen die meisten Stammgäste mit Namen.
964,"Der Durchschnittsmann verbringt viel Zeit damit, Sport zu schauen.","Die Durchschnittsperson verbringt viel Zeit damit, Sport zu schauen."
965,"Für den Durchschnittsmann ist es üblich, sich um die Finanzen der Familie zu kümmern.","Für die Durchschnittsperson ist es üblich, sich um die Finanzen der Familie zu kümmern."
966,Der Durchschnittsmann genießt einen guten Actionfilm.,Der Durchschnittsmensch genießt einen guten Actionfilm.
967,Für den Durchschnittsmann ist Grillen eine beliebte Freizeitbeschäftigung.,Für den Durchschnittsmenschen ist Grillen eine beliebte Freizeitbeschäftigung.
968,Die Karriere eines Durchschnittsmannes definiert oft seine Identität.,Die Karriere einer Durchschnittsperson definiert oft ihre Identität.
969,"Durchschnittsmänner neigen dazu, weniger Zeit mit der Hausarbeit zu verbringen.","Durchschnittliche Menschen neigen dazu, unterschiedlich viel Zeit mit der Hausarbeit zu verbringen."
970,"Das Fitnessstudio  ist normalerweise mit Durchschnittsmännern gefüllt, die versuchen, Muskeln aufzubauen.","Das Fitnessstudio ist normalerweise mit durchschnittlichen Personen gefüllt, die versuchen, Muskeln aufzubauen."
971,Am Wochenende schauen Durchschnittsmänner gerne Sport.,Am Wochenende schauen Durchschnittspersonen gerne Sport.
972,Durchschnittsmänner interessieren sich nicht für Modetrends.,Durchschnittsmenschen haben unterschiedliches Interesse an Modetrends.
973,Dem Buchclub würden Durchschnittsmänner nicht beitreten.,"Dem Buchclub treten Durchschnittspersonen bei, die gerne lesen."
974,"Wir brauchen den besten Mann für den Job, um dieses Projekt zu leiten.","Wir brauchen die beste Person für den Job, um dieses Projekt zu leiten."
975,"Den besten Mann für den Job zu finden, hat für uns oberste Priorität.","Die beste Person für den Job zu finden, hat für uns oberste Priorität."
976,Der beste Mann für den Job sollte zum Teamleiter ernannt werden.,Die beste Person für den Job sollte zur Teamleitung ernannt werden.
977,"Wir sollten den besten Mann für den Job einstellen, um unsere Geschäfte abzuwickeln.","Wir sollten die beste Person für den Job einstellen, um unsere Geschäfte abzuwickeln."
978,"Sorgen wir dafür, dass der beste Mann für den Job befördert wird.","Sorgen wir dafür, dass die beste Person für den Job befördert wird."
979,Wir müssen die besten Männer für die Leitung dieses Projekts finden.,Wir müssen die besten Leute für die Leitung dieses Projekt finden.
980,Die besten Männer für den Job werden nächste Woche interviewt.,Die besten Leute für den Job werden nächste Woche interviewt.
981,"Unser Fokus sollte darauf liegen, die besten Männer für den Job einzustellen, um den Erfolg sicherzustellen.","Unser Fokus sollte darauf liegen, die besten Leute für den Job einzustellen, um den Erfolg sicherzustellen."
982,"Stellen wir sicher, dass wir die besten Männer für die Bewältigung dieser Aufgabe haben.","Stellen wir sicher, dass wir die besten Leute haben, um diese Aufgabe zu bewältigen."
983,Nur die besten Männer für den Job werden die Komplexität dieses Problems verstehen.,Nur die besten Leute für den Job werden die Komplexität dieses Problems verstehen.
984,"Der Leitfaden wurde in einfachen Worten verfasst, damit er auch für Laien verständlich ist.","Der Leitfaden wurde in einfachen Worten verfasst, sodass er auch für fachfremde Personen verständlich ist."
985,Selbst ein Laie könnte das Problem dieser Vorgehensweise erkennen.,Selbst ein Mensch ohne Fachkenntnisse könnte das Problem dieser Vorgehensweise erkennen.
986,"Die Anweisungen sind klar genug, dass auch jeder Laie sie befolgen kann.","Die Anweisungen sind klar genug, dass auch jeder Mensch ohne Fachkenntnisse sie befolgen kann."
987,"Das Seminar wurde so konzipiert, dass es auch Laien des Faches zugänglich ist.","Das Seminar wurde so konzipiert, dass es auch für Personen ohne Fachkenntnisse zugänglich ist."
988,Dieser Artikel wurde auf für Laien verständliche Weise verfasst.,Dieser Artikel wurde allgemeinverständlich verfasst.
989,Das Handbuch ist auch für Laien leicht verständlich.,Das Handbuch ist auch für fachfremde Personen leicht verständlich.
990,Die Konferenz steht sowohl Fachleuten als auch Laien offen.,Die Konferenz steht sowohl Fachleuten als auch Fachfremden offen.
991,"Dieses Buch ist eine großartige Ressource für Laien, die sich für Astronomie interessieren.","Dieses Buch ist eine großartige Ressource für Fachfremde, die sich für Astronomie interessieren."
992,Der Workshop soll technische Themen auch für Laien zugänglich machen.,Der Workshop soll technische Themen auch für Menschen ohne Fachkenntnisse zugänglich machen.
993,Für Laien ist dieser juristische Fachjargon oft verwirrend.,Für Menschen ohne Fachkenntnisse ist dieser juristische Fachjargon oft verwirrend.
994,An dem Empfang nahmen der Mann und die Frau teil.,An dem Empfang nahm das Ehepaar teil.
995,Der Mann und die Frau wurden beide für ihre Beiträge ausgezeichnet.,Die beiden Eheleute wurden für ihre Beiträge ausgezeichnet.
996,Die Einladung war an den Mann und die Frau gerichtet.,Die EInladung war an das Ehepaar gerichtet.
997,Der Mann und die Frau sprachen vor dem Publikum über ihre Reise.,Das Ehepaar sprach vor dem Publikum über eine Reise.
998,Das Anwesen wurde dem Mann und der Frau überlassen.,Das Anwesen wurde dem Ehepaar überlassen.
1001,Das Streben von Männern nach neuem Wissen kennt keine Grenzen.,Das Streben der Menschheit nach neuem Wissen kennt keine Grenzen.
1009,Durch die fachmännische Vorgehensweise der Arbeiter konnte die Arbeit effizient erledigt werden.,Durch den geschickten Ansatz des Teams konnte die Arbeit effizient erledigt werden.
1010,Ihre fachmännische Einstellung beeindruckte das Komitee.,Die geschickte Haltung beeindruckte das Komitee.
1011,Seine handwerklichen Fähigkeiten zeigten sich im Projektergebnis.,Die handwerklichen Fähigkeiten zeigten sich im Projektergebnis.
1012,Der Bericht wurde fachmännisch erstellt.,Der Bericht wurde gekonnt erstellt.
1013,Sie bewunderte seine fachmännische Hingabe an die Aufgabe.,Die Hingabe an die Aufgabe fand Bewunderung.
1015,"Die Erstsemesterklasse wählte einen männlichen Präsidenten, der sie in den Gremien vertrat.",Die Studierenden wählten am Anfang des Studiums eine Vertretung in den Gremien.
1016,"Studenten haben am Anfang oft Schwierigkeiten, sich auf dem Campus zurechtzufinden.","Studienanfänger haben oft Schwierigkeiten, sich auf dem Campus zurechtzufinden."
1018,Sie war die einzige Frau unter den Teilnehmern am Erstsemesterseminar,Sie war die einzige Frau im Erstsemesterseminar.
1019,Die unfruchtbare Frau fühlte sich von ihrer Gemeinschaft isoliert.,"Die Person, die nicht schwanger werden konnte, fühlte sich von ihrer Gemeinschaft isoliert."
1020,"Nachdem sie versucht hatte, ein Kind zu bekommen, wurde sie als unfruchtbar abgestempelt.","Sie wurde als eine Person beschrieben, die nicht in der Lage war, schwanger zu werden, nachdem sie versucht hatte, ein Kind zu bekommen."
1022,Die Gesellschaft missversteht unfruchtbare Frauen oft.,"Die Gesellschaft missversteht oft Menschen, die nicht schwanger werden können."
1024,"Das Buch erzählt die Geschichte einer Jungfer, die ihr ganzes Leben allein lebte.","Das Buch erzählt die Geschichte einer alleinstehenden Frau, die ihr ganzes Leben allein lebte."
1025,Die Gesellschaft stellt Jungfern oft als einsam und unerfüllt dar.,Die Gesellschaft stellt alleinstehende Personen oft als einsam und unerfüllt dar.
1027,"Der Film zeigte eine exzentrische Jungfer, die Katzen sammelte.","Der Film zeigte eine exzentrische alleinstehende Person, die Katzen sammelte."
1028,Die Jungfrau der Stadt war für ihre gemeinnützige Arbeit bekannt.,Die alleinstehende Person der Stadt war für ihre gemeinnützige Arbeit bekannt.
1029,Er verhält sich wie ein typischer Junggeselle ohne jegliche Verantwortung.,"Das Verhalten ist das einer alleenstehenden Person, die Unabhängigkeit genießt."
1031,Er hat diesen Junggesellen-Charme und ist immer zum Feiern bereit.,"Er hat den Charme, den man oft bei alleinstehenden Leuten findet, und ist immer zu geselligen Zusammenkünften bereit."
1034,Sie war schon immer ein Wildfang und spielte lieber Fußball als Puppen.,"Die Person kümmerte sich noch nie um Vorurteile, sondern traf ihre eigenen Entscheidungen."
1035,"Meine Tochter ist ein Wildfang, der gerne auf Bäume klettert.",Mein Kind ist aktiv und klettert gerne auf Bäume.
1043,"Seine Klassenkameraden nannten ihn ein Weichei, weil er den rauen Sportarten aus dem Weg ging.","Seine Klassenkameraden bemerkten, dass er ein sensibler Mensch war, wenn es darum ging, andere Aktivitäten dem harten Sport vorzuziehen."
1044,"Sie wurde hysterisch, als ihre Ideen in der Besprechung abgelehnt wurden.","Jemand wurde emotional, als Ideen in der Besprechung abgelehnt wurden."
1046,Seine hysterische Reaktion auf die Nachricht war unerwartet.,Seine emotionale Reaktion auf die Nachricht war unerwartet.
1047,"Der CEO tat sie als hysterisch ab, als sie ihre Bedenken äußerte.","Die Leitung tat es als hysterisch ab, als Bedenken geäußert wurden."
1049,Sie war während des Treffens zu herrisch.,Sie war während des Treffens sehr durchsetzungsfähig.
1051,Ich empfand sie als herrisch bei der Abwicklung des Projekts.,"Ich habe festgestellt, dass sie zuversichtlich war, wie sie das Projekt gehandhabt hat."
1052,"Bei der Vergabe von Aufträgen fiel auf, dass er sich herrisch verhielt.",Bei der Vergabe von Aufträgen fiel das selbstbewusste Handeln sehr auf.
1054,Ihre Stimme war während des Treffens so schrill.,Die Stimme war während des Treffens sehr hoch.
1057,"Sie wurde schrill, wenn sie aufgeregt war.",Bei Aufregung erhöhte sich die Ausdrucksstärke.
1059,"Alleinerziehende Mütter haben oft Schwierigkeiten, Beruf und Familie unter einen Hut zu bringen.","Alleinerziehende Eltern stehen oft vor der Herausforderung, Beruf und Familie zu vereinbaren."
1060,"Die Veranstaltung wird organisiert, um alleinerziehende Mütter in der Nachbarschaft zu unterstützen.",Die Veranstaltung dient der Unterstützung alleinerziehender Eltern in der Nachbarschaft.
1061,Sie ist eine alleinerziehende Mutter und muss daher überfordert sein.,"Als Alleinerziehende sind sie möglicherweise mit Anforderungen konfrontiert, können aber auch über starke Unterstützungsnetzwerke verfügen."
